Experiment,Primed.as,Primed,Temp,Date of death,Censor
3daysevere.prime,Adult,Y,18,17,1
3daysevere.prime,Adult,Y,18,17,1
3daysevere.prime,Adult,Y,18,19,1
3daysevere.prime,Adult,Y,18,22,1
3daysevere.prime,Adult,Y,18,22,1
3daysevere.prime,Adult,Y,18,31,1
3daysevere.prime,Adult,Y,18,31,1
3daysevere.prime,Adult,Y,18,31,1
3daysevere.prime,Adult,Y,18,38,1
3daysevere.prime,Adult,Y,18,41,1
3daysevere.prime,Adult,Y,18,45,1
3daysevere.prime,Adult,Y,18,46,1
3daysevere.prime,Adult,Y,18,47,1
3daysevere.prime,Adult,Y,18,51,1
3daysevere.prime,Adult,Y,18,1,0
3daysevere.prime,Adult,Y,18,59,1
3daysevere.prime,Adult,Y,18,62,1
3daysevere.prime,Adult,Y,18,62,1
3daysevere.prime,Adult,Y,18,88,1
3daysevere.prime,Adult,Y,22,17,1
3daysevere.prime,Adult,Y,22,22,1
3daysevere.prime,Adult,Y,22,22,1
3daysevere.prime,Adult,Y,22,25,1
3daysevere.prime,Adult,Y,22,34,1
3daysevere.prime,Adult,Y,22,37,1
3daysevere.prime,Adult,Y,22,39,1
3daysevere.prime,Adult,Y,22,40,1
3daysevere.prime,Adult,Y,22,40,1
3daysevere.prime,Adult,Y,22,41,1
3daysevere.prime,Adult,Y,22,41,1
3daysevere.prime,Adult,Y,22,41,1
3daysevere.prime,Adult,Y,22,41,1
3daysevere.prime,Adult,Y,22,44,1
3daysevere.prime,Adult,Y,22,46,1
3daysevere.prime,Adult,Y,22,51,1
3daysevere.prime,Adult,Y,22,62,1
3daysevere.prime,Adult,Y,22,40,0
3daysevere.prime,Adult,Y,22,40,0
3daysevere.prime,Adult,Y,27,12,1
3daysevere.prime,Adult,Y,27,17,1
3daysevere.prime,Adult,Y,27,20,1
3daysevere.prime,Adult,Y,27,20,1
3daysevere.prime,Adult,Y,27,22,1
3daysevere.prime,Adult,Y,27,22,1
3daysevere.prime,Adult,Y,27,25,1
3daysevere.prime,Adult,Y,27,26,1
3daysevere.prime,Adult,Y,27,27,1
